code,label
Area1,Acetic acid
Area2,Acetoin
Area3,Unknown-6
Area4,Butanol-1*
Area5,Butanol-2*
Area6,Propanol-1*
Area7,Propanol-2*
Area8,Toluene
Area9,Ethanol-1*
Area10,Ethanol-2*
Area11,Pentanal
Area12,Isopropanol-1*
Area13,Acetone
Area14,Isopropanol-2*
Area15,Unknown-1
Area16,Unknown-2
Area17,Unknown-3
Area18,Acetaldehyde
Area19,Unknown-4
Area20,Butyraldehyde
Area21,Propyl acetate
Area22,Thiophene
Area23,Heptanal
Area24,Pentanone
Area25,Hexenol
Area26,Propyl butyrate
Area27,Butyl acetate
Area28,Methyl 2-methylbutyrate
Area29,?-Pinene-1
Area30,Dimethyl disulfide
Area31,Limonene
Area32,Limonene
Area33,"2,3-pentanedione"
Area34,Ethyl butanoate
Area35,?-Pinene-2
Area36,"2,3-Pentanedione"
Area37,Acetoin
Area38,Isopropyl acetate
Area39,Unknown-5
Area40,Cyclohexanone
